Selma Niva
Mämminiementie 79
20750 TURKU

Maija Lampen
Korkeakoulunkatu 17
50520 MIKKELI

Helmi Virrankoski
Ässätie 18
49420 HAMINA

Vihtori Sibelius
Unioninkatu 52
43100 SAARIJÄRVI

Olle Kovalainen
Tuulimyllyntie 44
51900 JUVA.

Tove Viinikainen
Pietarinkuja 87
61807 KAUHAJOKI

Einojuhani Lampen
Sahantie 62
33100 TAMPERE

Maire Ridanpää
Massbyntie 84
04440 JÄRVENPÄÄ

Jarno Söderström
Rauhankatu 76
00810 HELSINKI

Senja Eskelinen
Ilmalankuja 36
28400 ULVILA

Raine Sundqvist
Ahlströminkatu 41
80220 JOENSUU

Kalevi Meriluoto
Rörgrunsvägen 69
65007 VAASA

Kai Hirvi
Koskikatu 12
02290 ESPOO

Jouni Saariaho
Hätilänkatu 69
15820 LAHTI

Tommy Pappila
Oijärventie 24
95600 YLITORNIO

Anna-Liisa Grönholm
Mämminiementie 45
20900 TURKU

Pekka Mikkola
Visiokatu 39
38950 HONKAJOKI

Senja Luostarinen
Rauhankatu 95
00900 HELSINKI

Josefiina Hynninen
Itätuulenkuja 79
02920 ESPOO

Jarmo Niemi
Heikkurintie 55
62900 ALAJÄRVI

Arsi Linna
Suometsäntie 75
00720 HELSINKI

Ari Salonen
Gesterbyntie 79
05850 HYVINKÄÄ

Paula Lenkkeri
Norra Esplanaden 18
00260 HELSINKI

Säde Kilkka
Ahlströminkatu 4
80130 JOENSUU

Jaska Vanhanen
Kangasmoisionkatu 38
40620 JYVÄSKYLÄ

Arvi Lindberg
Hirvenpolku 72
66600 VÖYRI

Riku Aaltonen
Ysitie 99
33480 YLÖJÄRVI

Anu Kinnunen
Hermiankatu 27
34800 VIRRAT

Ensio Kapanen
Inkereentie 70
26100 RAUMA

Sebastian Sinervo
Kajaaninkatu 72
02007 ESPOO

Ari Lax
Kauhajärventie 35
62200 KAUHAVA
olle_kova+lainen@suomi.fi
toveK.viinikainen33@hotmail.com
maire-ridanpää@suomi.fi
senja.eskelinen@fingrid.org
Jyrki Heikkilä
Tawastintie 9
15170 LAHTI

Risto Haapoja
Ysitie 72
33840 TAMPERE

Rita Nuorela
Massbyntie 31
04407 JÄRVENPÄÄ

Kaj Styrman
Pesolantie 2
85200 ALAVIESKA

Arja Timonen
Keskiortentie 28
22340 GETA

Samsa Pohjonen
Kaarrostie 43
01230 VANTAA

Paavo Kauppinen
Vanhamaantie 32
48100 KOTKA

Justiina Wiljakainen
Koskikatu 86
02270 ESPOO

Arvi Harila
Mämminiementie 5
20840 TURKU

Juhani Koski
Haapahuhdantie 11
20930 TURKU

Åsa Myllyrinne
Keimolanpolku 34
22130 ÅBO
